location,bedrooms,Bathrooms,area,carpet_area,ownership,sale_type,age_of_the_property,plot_type,floor,Furnishing,Status,Facing,Actual_Price
Thoraipakkam,2,2,1020,850,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,West,6100436
Ayappakkam,2,3,800,766,Builder,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,3536166
Vengaivasal,2,2,1500,1097,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,North West,9897678
Oragadam,2,2,1582,775,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,South,9710793
Perambur,2,2,1025,1672,Individual,Resale,5 to 10 years,House & Villas,0,Unfurnished,Ready to Move,West,4866490
Perambur,2,2,1000,1125,Builder,New,New Construction,House & Villas,3,Semi-Furnished,Ready to Move,North,5287872
Porur,2,2,3000,2310,Individual,Resale,15 to 20 years,House & Villas,1,Unfurnished,Ready to Move,East,28520830
Chrompet,2,2,1050,800,Individual,New,0 to 5 years,House & Villas,1,Unfurnished,Under Construction,North,5619996
Kodungaiyur,2,2,1200,680,Builder,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,South East,7796771
Veebampattu,2,2,1050,682,Builder,New,Under Construction,House & Villas,1,Unfurnished,Ready to Move,East,5720513
Porur,2,2,1300,633,Builder,New,Under Construction,House & Villas,1,Unfurnished,Under Construction,East,7170956
East Coast Road,3,3,1800,1600,Individual,New,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,South,11491617
Koyambedu,2,2,3700,619,Individual,Resale,10 to 15 years,House & Villas,4,Unfurnished,Ready to Move,East,27711981
Pammal,2,2,1490,7400,Individual,New,Under Construction,House & Villas,1,Unfurnished,Under Construction,South East,17800875
Tambaram,2,2,1050,5577,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,East,4224924
Maraimalai Nagar,3,3,2400,3000,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Ready to Move,North East,24582160
Pallavaram,2,2,2420,784,Builder,New,Under Construction,House & Villas,0,Unfurnished,Under Construction,North,23799526
Saidapet,2,2,1200,575,Individual,New,Under Construction,House & Villas,1,Furnished,Under Construction,East,6355883
Tambaram,2,2,740,726,Individual,New,New Construction,House & Villas,1,Semi-Furnished,Ready to Move,East,3757921
Veebampattu,2,2,2400,2330,Individual,New,Under Construction,House & Villas,1,Unfurnished,Under Construction,West,28236287
Virugambakkam,4,4,2400,900,Individual,New,Under Construction,House & Villas,3,Furnished,Ready to Move,East,32007195
neelankarai,6,6,5000,640,Builder,New,New Construction,House & Villas,1,Unfurnished,Under Construction,North East,53378226
Guindy,1,1,550,575,Individual,New,Under Construction,House & Villas,1,Furnished,Under Construction,East,2789204
Guduvancheri,2,2,960,843,Agent,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South West,5136943
Villivakkam,1,1,500,1040,Individual,New,Under Construction,House & Villas,2,Furnished,Under Construction,North,2580673
East Coast Road,4,5,3823,1312,Individual,Resale,Above 20 years,House & Villas,1,Semi-Furnished,Ready to Move,East,28846805
Chrompet,1,1,650,350,Builder,New,Under Construction,House & Villas,1,Unfurnished,Under Construction,East,3487264
Kolathur,4,4,1407,3200,Individual,Resale,5 to 10 years,House & Villas,2,Semi-Furnished,Ready to Move,East,11900918
Tambaram Mudichur Road,3,3,2300,682,Individual,New,Under Construction,House & Villas,1,Furnished,Ready to Move,East,20850334
Guduvancheri,2,1,710,6168,Individual,Resale,15 to 20 years,House & Villas,0,Unfurnished,Ready to Move,East,4052148
Villivakkam,2,3,1300,4000,Individual,Resale,Above 20 years,House & Villas,3,Furnished,Ready to Move,North West,10332969
Thiruvalangadu,1,1,460,170,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,East,2559531
Kovilambakkam,3,3,1700,1470,Individual,New,0 to 5 years,House & Villas,2,Semi-Furnished,Ready to Move,North,11094110
Manali,1,1,1415,1050,Individual,Resale,5 to 10 years,House & Villas,0,Semi-Furnished,Ready to Move,South,3838964
Nanganallur,2,2,825,682,Builder,New,Under Construction,House & Villas,1,Furnished,Ready to Move,East,4054155
Kovalam,2,2,2400,620,Builder,New,Under Construction,House & Villas,0,Furnished,Ready to Move,South,20024092
Porur,2,1,850,800,Builder,New,Under Construction,House & Villas,0,Unfurnished,Ready to Move,North,4183336
East Coast Road,1,1,700,608,Builder,New,Under Construction,House & Villas,1,Unfurnished,Under Construction,East,3091951
Villivakkam,6,5,2300,650,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Ready to Move,South,26160876
Madhavaram,3,3,4000,971,Individual,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,East,18921628
Porur,4,3,1563,900,Agent,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,North,10305415
Pammal,3,2,2000,707,Builder,New,Under Construction,House & Villas,1,Semi-Furnished,Under Construction,East,15211607
Vadapalani,3,7,1950,1200,Builder,Resale,5 to 10 years,House & Villas,0,Semi-Furnished,Ready to Move,East,63474406
Panayur,10,10,10000,1349,Builder,New,Under Construction,House & Villas,1,Unfurnished,Ready to Move,East,185040305
Perungalathur,3,3,2000,1360,Individual,New,Under Construction,House & Villas,2,Unfurnished,Ready to Move,North,20635844
Porur,4,4,1543,600,Individual,Resale,5 to 10 years,House & Villas,2,Unfurnished,Ready to Move,West,18558864
Mmda Colony,4,2,4750,1100,Individual,New,10 to 15 years,House & Villas,1,Furnished,Ready to Move,North,23964537
Mangadu,1,1,580,1150,Builder,New,New Construction,House & Villas,1,Semi-Furnished,Ready to Move,East,2756950
Santhosapuram,3,2,1500,1082,Individual,Resale,5 to 10 years,House & Villas,1,Semi-Furnished,Ready to Move,North,9502989
Avadi,2,2,960,1155,Individual,Resale,Type,House & Villas,1,Furnished,Ready to Move,South,4744893
Thiruninravur,2,3,3400,1400,Individual,Resale,Above 20 years,House & Villas,0,Semi-Furnished,Ready to Move,West,35542941
Red Hills,3,3,1300,1419,Builder,New,0 to 5 years,House & Villas,2,Furnished,Ready to Move,South,10517598
Mangadu,3,3,1100,594,Individual,New,New Construction,House & Villas,1,Furnished,Ready to Move,East,7783731
Porur,2,2,800,843,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,North,3674793
Kolathur,2,3,1500,1300,Individual,Resale,0 to 5 years,House & Villas,0,Furnished,Ready to Move,North,16725782
Pallavaram,3,3,1900,663,Individual,Resale,10 to 15 years,House & Villas,1,Furnished,Ready to Move,North,13506779
Sithalapakkam,2,2,603,1012,Builder,New,Under Construction,House & Villas,1,Furnished,Under Construction,East,2600946
Kovilambakkam,5,5,4700,2592,Individual,Resale,5 to 10 years,House & Villas,1,Semi-Furnished,Ready to Move,South,30292885
Kelambakkam,3,3,2400,748,Individual,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,North,19719187
Potheri,3,3,1000,996,Builder,New,Under Construction,House & Villas,1,Semi-Furnished,Under Construction,North,6130031
Guduvancheri,3,4,1750,633,Builder,New,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,South,13106597
Mylapore,2,2,1120,2500,Individual,New,New Construction,House & Villas,2,Unfurnished,Ready to Move,East,5552163
Red Hills,4,3,1300,650,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Ready to Move,South,8725168
Ra Puram,4,4,3500,1485,Individual,New,0 to 5 years,House & Villas,-1,Unfurnished,Ready to Move,West,38752908
Tambaram Mudichur Road,3,3,1000,650,Builder,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,South,5541746
Tambaram,3,3,1000,540,Individual,Resale,0 to 5 years,House & Villas,2,Unfurnished,Ready to Move,East,6141142
Kilpauk,3,3,1400,1188,Individual,Resale,10 to 15 years,House & Villas,0,Unfurnished,Ready to Move,East,9915794
East Coast Road,2,2,695,220,Individual,New,Under Construction,House & Villas,1,Unfurnished,Ready to Move,East,3484086
Adyar,4,5,9200,570,Individual,New,New Construction,House & Villas,1,Furnished,Ready to Move,East,127834601
Medavakkam,3,3,1775,971,Individual,New,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,South,9883739
Madhavaram,8,8,3600,616,Builder,New,New Construction,House & Villas,0,Furnished,Ready to Move,South,29839930
West Mambalam,3,2,1100,2200,Individual,Resale,15 to 20 years,House & Villas,0,Semi-Furnished,Ready to Move,South,12907764
Avadi,3,2,1200,4684,Others,Resale,0 to 5 years,House & Villas,0,Furnished,Ready to Move,East,6691932
Pallikaranai,2,2,980,800,Individual,New,0 to 5 years,House & Villas,1,Unfurnished,Under Construction,South,4466939
Ennore Port,2,2,1300,775,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,5834154
Choolai,1,1,2730,570,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,West,14240213
Manali,2,2,1000,964,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,4259107
Saligramam,2,2,2500,1248,Builder,New,New Construction,House & Villas,1,Furnished,Ready to Move,East,28140774
Singaperumal Koil,2,2,800,756,Builder,New,Under Construction,House & Villas,1,Unfurnished,Under Construction,South,2753376
Egmore,4,2,6500,1303,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,South,53487916
Kolathur,4,4,2000,601,Individual,Resale,5 to 10 years,House & Villas,1,Unfurnished,Ready to Move,North East,15533244
Ayanavaram,4,3,2400,1920,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,13084242
Kolathur,2,1,1100,5400,Individual,New,New Construction,House & Villas,2,Furnished,Ready to Move,North,6619447
Palavakkam,5,5,3000,950,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,South West,30802811
Periyapalayam,2,2,650,777,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Under Construction,East,3043762
Palavanthagal,2,2,3780,1400,Builder,New,New Construction,House & Villas,1,Furnished,Ready to Move,South,25930405
Kolathur,2,2,1000,578,Individual,New,Under Construction,House & Villas,0,Semi-Furnished,Under Construction,East,5151111
Chrompet,2,3,1200,2580,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,North,4514663
Madanandapuram,2,2,1100,865,Builder,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,5347257
Tambaram,3,3,850,12000,Individual,New,New Construction,House & Villas,0,Furnished,Ready to Move,North,6260082
Triplicane,2,1,570,1200,Individual,New,New Construction,House & Villas,3,Semi-Furnished,Ready to Move,North,2544010
Ayanambakkam,3,3,1400,3800,Builder,Resale,5 to 10 years,House & Villas,1,Semi-Furnished,Ready to Move,West,14753616
Gst Road,3,3,2795,900,Individual,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,North,20785660
Valasaravakkam,6,5,2000,316,Builder,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,North,18111875
Thiruvanmiyur,4,4,4588,1550,Individual,Resale,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,33415011
Oragadam,2,2,1145,965,Individual,Resale,New Construction,House & Villas,1,Unfurnished,Under Construction,East,5653317
Royapettah,8,8,6000,1200,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,South,160840959
Thiruvotriyur,3,3,750,1100,Individual,Resale,10 to 15 years,House & Villas,0,Semi-Furnished,Ready to Move,North,5696896
Nolambur,2,2,1021,1061,Individual,New,New Construction,House & Villas,3,Unfurnished,Ready to Move,East,4583015
Vandalur,3,3,1500,1353,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,West,20085914
Navalur,3,3,2400,221,Individual,Resale,5 to 10 years,House & Villas,1,Furnished,Ready to Move,West,40469770
Perungudi,6,6,2400,850,Builder,New,Under Construction,House & Villas,2,Unfurnished,Ready to Move,North,25396140
Ayanambakkam,2,2,640,512,Agent,Resale,15 to 20 years,House & Villas,1,Unfurnished,Ready to Move,North,3475162
Minjur,2,2,936,748,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,East,4596466
Vysarpadi,4,3,1760,476,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,South East,11202720
Jeeva Nagar,2,2,900,800,Individual,Resale,New Construction,House & Villas,1,Unfurnished,Ready to Move,South,5248507
Poonamale High Road,4,1,2007,1566,Individual,New,New Construction,House & Villas,2,Unfurnished,Ready to Move,North,16494918
Kodambakkam,1,1,801,570,Agent,Resale,0 to 5 years,House & Villas,3,Furnished,Under Construction,South,4454661
Madhavaram,1,1,800,3360,Individual,Resale,10 to 15 years,House & Villas,1,Unfurnished,Ready to Move,West,4819876
Omr,2,2,987,1097,Agent,New,10 to 15 years,House & Villas,1,Unfurnished,Ready to Move,North,4835352
Thiruvalluvar Nagar,2,2,2210,600,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,East,11891724
Avadi,2,2,900,1400,Individual,Resale,10 to 15 years,House & Villas,1,Semi-Furnished,Ready to Move,South,4335176
Adambakkam,2,2,1800,775,Builder,New,Under Construction,House & Villas,0,Semi-Furnished,Under Construction,West,21923453
Adyar,3,3,3000,600,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Under Construction,North East,81996870
Madipakkam,3,3,1250,800,Builder,New,Under Construction,House & Villas,1,Semi-Furnished,Under Construction,North,8004325
Kumaran Nagar,3,3,1750,1437,Individual,New,New Construction,House & Villas,2,Furnished,Ready to Move,East,13030003
Red Hills,2,2,671,1050,Builder,New,Under Construction,House & Villas,3,Semi-Furnished,Ready to Move,East,3120042
Omr,2,1,1750,1013,Individual,Resale,5 to 10 years,House & Villas,1,Semi-Furnished,Ready to Move,East,13268000
Perambur,3,4,1317,3150,Individual,Resale,5 to 10 years,House & Villas,0,Unfurnished,Under Construction,East,8920003
Royapettah,2,1,475,1000,Individual,Resale,15 to 20 years,House & Villas,1,Furnished,Ready to Move,South,2829334
Rajakilpakkam,5,4,2200,700,Individual,Resale,10 to 15 years,House & Villas,1,Furnished,Ready to Move,East,16513339
Ayyapanthangal,3,3,1400,1600,Builder,New,Under Construction,House & Villas,2,Semi-Furnished,Under Construction,East,9085354
Korattur,10,10,1850,1100,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,North,22037344
Velachery,2,1,640,949,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Under Construction,East,2552213
Anbattur,4,3,1800,589,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,West,21471642
Puzithivakkam,2,2,700,750,Builder,New,10 to 15 years,House & Villas,0,Unfurnished,Ready to Move,North,3657198
Thiruvallalar,1,1,600,1353,Individual,Resale,0 to 5 years,House & Villas,2,Semi-Furnished,Ready to Move,East,2422569
T Nagar,2,2,1700,681,Others,New,Under Construction,House & Villas,1,Unfurnished,Ready to Move,East,14327186
Puzhal,3,2,1500,540,Individual,Resale,5 to 10 years,House & Villas,1,Unfurnished,Ready to Move,North,9329058
Mogappair West,1,1,500,1253,Individual,New,New Construction,House & Villas,2,Unfurnished,Ready to Move,East,2178760
Vadapalani,4,4,750,800,Individual,Resale,5 to 10 years,House & Villas,1,Semi-Furnished,Ready to Move,West,8197767
Urapakkam,3,3,1800,1100,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,8721396
Omr,4,4,2939,1056,Individual,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,East,24252093
Navalur,4,4,2000,1007,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,North East,13559104
Avadi,2,3,976,900,Builder,New,0 to 5 years,House & Villas,2,Unfurnished,Ready to Move,South,5557843
Guduvancheri,2,2,900,1120,Individual,Resale,15 to 20 years,House & Villas,0,Unfurnished,Ready to Move,North East,4147691
Ambattur,2,2,873,519,Individual,Resale,Above 20 years,House & Villas,0,Unfurnished,Ready to Move,South,3286221
Pallikaranai,3,2,1400,800,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,7754363
Omr,4,4,1800,1500,Individual,Resale,10 to 15 years,House & Villas,1,Semi-Furnished,Ready to Move,East,12359081
Ayappakkam,2,3,646,1253,Individual,Resale,New Construction,House & Villas,2,Semi-Furnished,Ready to Move,West,2761097
Alandur,4,3,1635,925,Individual,Resale,10 to 15 years,House & Villas,0,Semi-Furnished,Ready to Move,South,14026513
Vadapalani,4,4,1920,849,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,North,11095661
Kolathur,3,3,1800,1360,Individual,New,Under Construction,House & Villas,2,Unfurnished,Ready to Move,South,18794821
Vandalur,2,2,1000,1450,Individual,Resale,15 to 20 years,House & Villas,2,Semi-Furnished,Ready to Move,North,4377613
Thiruvallore,2,2,950,550,Individual,New,Under Construction,House & Villas,0,Unfurnished,Under Construction,East,5109369
Madhavaram,2,2,350,1360,Individual,New,Under Construction,House & Villas,2,Unfurnished,Ready to Move,North,2952213
Kazhipattur,4,4,1800,1360,Individual,New,Under Construction,House & Villas,2,Unfurnished,Ready to Move,North,18784728
Omr,3,3,1500,1393,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,East,12331692
Kolathur,3,4,1150,1040,Builder,New,Under Construction,House & Villas,1,Unfurnished,Ready to Move,North East,9338607
Chengalpattu,3,2,3400,1050,Individual,Resale,5 to 10 years,House & Villas,0,Semi-Furnished,Ready to Move,South,61418029
Ayanambakkam,3,3,640,650,Builder,New,Under Construction,House & Villas,1,Semi-Furnished,Ready to Move,South,4534092
Ayanavaram,6,4,2000,1120,Individual,Resale,15 to 20 years,House & Villas,0,Unfurnished,Ready to Move,North East,17639318
Avadi,2,2,1006,1075,Individual,Resale,Under Construction,House & Villas,1,Unfurnished,Under Construction,East,4837484
East Coast Road,4,5,2400,1120,Builder,New,New Construction,House & Villas,6,Unfurnished,Ready to Move,North,26502183
Vepampattu,3,3,650,775,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,4925354
Omr,5,2,4500,1400,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,East,24917468
Valasaravakkam,5,5,2400,1042,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Ready to Move,North,24659910
Pallikaranai,1,1,400,650,Builder,New,0 to 5 years,House & Villas,0,Unfurnished,Under Construction,South,1196643
Maduravayol,1,1,400,1120,Builder,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,North,1870940
Avadi,2,2,1600,1318,Individual,New,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,South,17432164
Thiruvotriyur,3,3,1050,1640,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Under Construction,North,5970774
Villivakkam,2,3,750,3000,Individual,New,0 to 5 years,House & Villas,0,Furnished,Ready to Move,North,2886111
Alwarpet,4,4,655,1288,Individual,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,East,6502402
Ambattur,3,3,1600,640,Individual,New,0 to 5 years,House & Villas,1,Unfurnished,Under Construction,South,12742776
Avadi,2,2,1752,1746,Individual,Resale,10 to 15 years,House & Villas,1,Unfurnished,Ready to Move,East,14083772
Urapakkam,4,4,1000,800,Individual,New,Under Construction,House & Villas,2,Unfurnished,Ready to Move,East,9531277
Ra Puram,3,3,1000,860,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,North,6163268
East Coast Road,2,2,1100,1500,Builder,New,Under Construction,House & Villas,5,Unfurnished,Under Construction,East,5774668
Alwarpet,3,6,672,700,Individual,Resale,Above 20 years,House & Villas,0,Semi-Furnished,Ready to Move,West,12788903
Nolambur,2,2,1500,1253,Individual,Resale,5 to 10 years,House & Villas,2,Unfurnished,Ready to Move,North,9042170
Singaperumal Koil,2,2,900,6168,Individual,Resale,5 to 10 years,House & Villas,10,Semi-Furnished,Ready to Move,South,5965297
Ambattur,2,1,675,2450,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Ready to Move,East,2956128
Urapakkam,3,3,1750,974,Individual,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,North,10790342
Kotturpuram,5,5,2000,1447,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Under Construction,West,20094667
Omr,4,4,1500,650,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Ready to Move,South,12046749
Medavakkam,2,3,780,650,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Ready to Move,South,3565447
Kovalam,2,2,1200,594,Individual,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South,6636730
Thiruninravur,2,2,700,560,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,South,3870051
Pallikaranai,3,3,2250,800,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,North,11683396
Ekkaduthangal,5,4,3050,975,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,26528236
Tambaram,4,4,1700,300,Individual,Resale,15 to 20 years,House & Villas,1,Semi-Furnished,Ready to Move,South,13551115
Omr,4,4,1800,800,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,14802997
Poonamale Highway,4,4,2000,640,Individual,Resale,10 to 15 years,House & Villas,0,Unfurnished,Ready to Move,East,13393605
Avadi,5,3,3000,3200,Individual,Resale,10 to 15 years,House & Villas,2,Semi-Furnished,Ready to Move,East,32259990
Aminjikarai,2,2,2779,784,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,26550777
Valasaravakkam,3,2,2500,600,Individual,Resale,10 to 15 years,House & Villas,0,Semi-Furnished,Ready to Move,East,26138865
Gst Road,3,3,1200,784,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,5852646
Valasaravakkam,4,4,2200,1082,Individual,Resale,10 to 15 years,House & Villas,1,Semi-Furnished,Ready to Move,North,14886289
Kovilambakkam,2,2,1000,640,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,6158737
Gst Road,2,2,1079,597,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,North,4799985
Perungalathur,2,2,750,800,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,3890932
Madipakkam,2,2,2960,920,Individual,Resale,0 to 5 years,House & Villas,2,Unfurnished,Ready to Move,North,17453755
Avadi,2,2,1000,768,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,East,5241099
Choolaimedu,2,1,1297,597,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,4555124
Kilpauk,8,6,6000,812,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,South West,166911206
Thiruvanmiyur,4,3,3000,2803,Individual,Resale,0 to 5 years,House & Villas,0,Furnished,Ready to Move,South,40192689
Madipakkam,3,3,1800,746,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,10073253
Tambaram,4,3,2100,784,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,16534883
Kodamkkam,4,3,2500,694,Individual,Resale,5 to 10 years,House & Villas,2,Semi-Furnished,Ready to Move,North,26833711
Sithalapakkam,3,4,1350,1042,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,South,11940230
Sithalapakkam,2,2,860,784,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,4568784
Omr,6,6,1975,8000,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,31836233
Vysarpadi,3,3,880,1349,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,East,6773290
Saligramam,7,6,4200,784,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,34216157
M R C Nagar,12,15,3600,1200,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Under Construction,West,88283674
East Coast Road,3,3,1500,2070,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,10753033
Kolathur,2,2,1060,746,Individual,Resale,0 to 5 years,House & Villas,0,Furnished,Ready to Move,East,5352592
Gkm Colony,3,2,1435,1050,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,North,6277831
Chengalpattu,2,2,1050,746,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,4934962
Avadi,2,2,5000,800,Individual,Resale,10 to 15 years,House & Villas,0,Semi-Furnished,Ready to Move,North,32438273
K Nagar,5,4,1700,1840,Individual,Resale,5 to 10 years,House & Villas,1,Unfurnished,Ready to Move,North,12681351
Velachery,7,7,3300,200,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,47766235
Ennore Port,2,2,900,970,Individual,Resale,0 to 5 years,House & Villas,2,Furnished,Ready to Move,East,5759140
Anna Nagar,3,3,2100,812,Individual,Resale,5 to 10 years,House & Villas,1,Unfurnished,Ready to Move,East,19130502
Iyyappanthangal,2,2,760,6168,Individual,Resale,0 to 5 years,House & Villas,10,Semi-Furnished,Ready to Move,North,6266741
K Nagar,6,5,1700,640,Individual,New,Above 20 years,House & Villas,1,Unfurnished,Ready to Move,East,17126383
Ayanavaram,6,6,2400,910,Individual,Resale,5 to 10 years,House & Villas,0,Unfurnished,Ready to Move,East,18892289
Padi,2,2,850,633,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,East,4164752
Velachery,5,6,2200,999,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,17745671
Thiruvanmiyur,15,15,22000,2318,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,East,352561269
Mylapore,6,6,1672,900,Individual,Resale,0 to 5 years,House & Villas,2,Unfurnished,Ready to Move,South,19823954
K Nagar,2,3,1800,1398,Individual,Resale,5 to 10 years,House & Villas,1,Furnished,Ready to Move,West,16763697
Guduvancheri,2,2,700,560,Individual,Resale,0 to 5 years,House & Villas,4,Unfurnished,Ready to Move,East,4777370
Mahalingapuram,2,3,1300,775,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South,6012269
Chengalpattu,3,3,1000,1000,Individual,Resale,10 to 15 years,House & Villas,0,Furnished,Ready to Move,East,5492450
Urapakkam,2,2,600,1760,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,North,2764608
Palavakkam,3,3,1600,600,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,North,10276105
Chrompet,1,1,500,1920,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South East,1585242
Sithalapakkam,2,2,1640,900,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,East,11443724
Muggappair,3,3,1350,3528,Individual,Resale,Under Construction,House & Villas,0,Unfurnished,Under Construction,North,8063824
Pallikaranai,7,7,3100,512,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,52001270
Solavaram,3,2,720,714,Individual,Resale,10 to 15 years,House & Villas,1,Furnished,Ready to Move,North,5280439
T Nagar,6,4,3000,1374,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,East,41405533
Valasaravakkam,3,3,1050,746,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,5761552
T Nagar,6,5,3600,800,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,41625209
Chrompet,1,1,522,640,Individual,Resale,Under Construction,House & Villas,1,Furnished,Under Construction,North,2615950
Tambaram Mudichur Road,2,2,250,200,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,East,2173888
Pallikaranai,2,2,1000,784,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,4225489
